rel,count,date
60,340585,19-Jul-12
59,298517,23-May-12
58,242608,15-Mar-12
57,224634,18-Jan-12
56,213615,15-Nov-11
55,192795,13-Sep-11
54,183107,12-Jul-11
53,176856,18-May-11
52,171651,23-Mar-11
51,167193,27-Jan-11
50,147613,30-Nov-10
49,143772,29-Sep-10
48,141212,27-Jul-10
47,116977,24-May-10
46,112256,08-Mar-10
45,105171,21-Jan-10
44,101138,04-Nov-09
43,88727,26-Aug-09
42,78933,28-May-09
41,72718,04-Mar-09
40,65331,26-Nov-08
39,62352,15-Oct-08
38,59187,03-Jul-08
37,55779,07-May-08
36,54519,05-Mar-08
35,53098,16-Jan-08
34,52146,08-Nov-07
33,51054,05-Sep-07
32,49491,08-Aug-07
31,48911,27-Jul-07
30,46364,06-Jun-07
29,44062,09-May-07
28,43021,04-Apr-07
27,42057,14-Mar-07
26,41228,14-Feb-07
25,40672,10-Jan-07
24,39839,14-Dec-06
23,37857,30-Nov-06
22,34390,11-Oct-06
21,31933,14-Sep-06
20,30439,05-Jul-06
19,28859,07-Jun-06
18,28534,04-May-06
17,27637,04-Apr-06
16,26388,08-Mar-06
15,26194,07-Feb-06
