date,bases,open_access_bases,bytes,open_access_bytes
06/05/2007,20304190150,20304190150,50496285115,50496285115
04/04/2008,39753724527,39753724527,98607119768,98607119768
04/05/2008,41358022149,41358022149,1.02589E+11,1.02589E+11
04/09/2008,41807184131,41807184131,1.03727E+11,1.03727E+11
04/15/2008,41932946619,41932946619,1.04033E+11,1.04033E+11
04/17/2008,57328868847,57328868847,1.36713E+11,1.36713E+11
04/18/2008,59828290459,59828290459,1.42452E+11,1.42452E+11
04/19/2008,59994877055,59994877055,1.42799E+11,1.42799E+11
04/21/2008,61795910116,61795910116,1.46702E+11,1.46702E+11
04/23/2008,61874273517,61874273517,1.46892E+11,1.46892E+11
04/25/2008,78286121880,78286121880,2.75997E+11,2.75997E+11
04/26/2008,81230919552,81230919552,2.96638E+11,2.96638E+11
04/28/2008,81594141246,81594141246,2.9898E+11,2.9898E+11
04/29/2008,81656925854,81656925854,2.99139E+11,2.99139E+11
04/30/2008,81787664683,81787664683,2.99464E+11,2.99464E+11
05/07/2008,84012509923,84012509923,3.04745E+11,3.04745E+11
05/09/2008,84110889495,84110889495,3.04984E+11,3.04984E+11
05/10/2008,84155887254,84155887254,3.05098E+11,3.05098E+11
05/14/2008,85056296734,85056296734,3.07291E+11,3.07291E+11
05/16/2008,85379807692,85379807692,3.0809E+11,3.0809E+11
05/19/2008,85447456902,85447456902,3.0826E+11,3.0826E+11
05/23/2008,85474493057,85474493057,3.08326E+11,3.08326E+11
06/02/2008,90922163010,90922163010,3.61542E+11,3.61542E+11
06/03/2008,1.01807E+11,1.01807E+11,4.6345E+11,4.6345E+11
06/18/2008,1.02073E+11,1.02073E+11,4.64026E+11,4.64026E+11
06/23/2008,1.03666E+11,1.03666E+11,4.67539E+11,4.67539E+11
06/24/2008,1.06388E+11,1.06388E+11,4.9452E+11,4.9452E+11
06/26/2008,1.13711E+11,1.13711E+11,5.69917E+11,5.69917E+11
06/27/2008,1.16348E+11,1.16348E+11,5.95028E+11,5.95028E+11
07/01/2008,1.35554E+11,1.35554E+11,6.37422E+11,6.37422E+11
07/03/2008,1.35822E+11,1.35822E+11,6.38006E+11,6.38006E+11
07/08/2008,1.38508E+11,1.38508E+11,6.65881E+11,6.65881E+11
